slug,name,thickness_pct,camber_pct,concave,max_gap_pct,gap_x
df102-il,DF102,11.00,2.31,no,0.05,0.949
dfvlrr4-il,DFVLR R-4 AIRFOIL,13.38,2.10,YES,1.99,0.845
doa5-il,DORNIER A-5 AIRFOIL,16.21,2.54,YES,1.69,0.820
la203a-il,DOUGLAS LA203A AIRFOIL,15.73,5.48,YES,1.94,0.822
drgnfly-il,DRAGONFLY CANARD,19.34,6.56,no,0.04,0.751
dsma523a-il,DSMA-523A AIRFOIL,11.00,2.30,YES,2.65,0.840
dsma523b-il,DSMA-523B AIRFOIL,11.00,2.04,YES,2.77,0.840
du06-w-200-dt,DU 06-W-200  VAWT airfoil,19.78,0.63,YES,1.38,0.835
du861372-il,DU 86-137/25 AIRFOIL,13.63,0.29,YES,0.63,0.901
du8608418-il,DU86-084/18 8.44%,8.45,1.12,YES,0.37,0.925
davis-il,Davis AIRFOIL,11.25,3.69,YES,0.36,0.500
daytonwright6-il,Dayton-Wright 6,13.60,7.17,YES,0.41,0.400
daytonwrightt1-il,Dayton-Wright T-1,13.37,7.06,YES,0.68,0.400
dormoy-il,Dormoy,9.00,4.53,no,0.04,0.200
ebambino7-il,E. Bambino,6.00,3.00,no,0.00,0.950
e228-il,E10(08%),10.06,0.28,no,0.01,0.987
e168-il,E168  (12.45%),12.44,0.00,no,0.14,0.811
e169-il,E169  (14.4%),14.40,0.00,no,0.24,0.807
e174-il,E174  (Dicke 8.92%),8.92,3.84,YES,0.83,0.664
e176-il,E176  (8.83%),8.83,3.32,YES,0.45,0.721
e178-il,E178  (8.69%),8.68,2.79,no,0.13,0.726
e180-il,E180  (8.59%),8.58,2.24,no,0.01,0.987
e182-il,E182 (8.47%),8.47,1.72,no,0.00,0.988
e184-il,E184  (8.33%),8.32,1.20,no,0.00,0.997
e186-il,E186  (10.27%),10.27,1.31,no,0.01,0.997
e193-il,E193  (10.22%),10.22,3.57,YES,0.39,0.715
e195-il,E195  (11.82%),11.80,3.19,no,0.30,0.760
e197-il,E197  (13.49%),13.48,2.81,no,0.29,0.803
e201-il,E201  (11.88%),11.86,3.10,YES,0.51,0.757
e203-il,E203  (13.64%),13.61,2.67,YES,0.77,0.797
e205-il,E205  (10.48%),10.48,3.01,no,0.03,0.986
e207-il,E207  (12.04%),12.02,2.51,no,0.10,0.763
e209-il,E209  (13.72%),13.68,1.98,YES,0.34,0.802
e210-il,E210  (13.64%),13.64,4.02,YES,1.35,0.787
e211-il,E211  (10.96%),10.95,2.58,YES,1.07,0.794
