Alpha(deg),Beta(deg),Fx,Fy,Fz,Mx,My,Mz
-88.0,0.0,112.34314173296514,-0.0811478515944656,855.5294822601278,-0.6932582151920812,-246.70983808087504,0.71654962730846
-88.0,1.0,112.5842291164148,-0.447230483197174,856.5651803284886,11.237061420443728,-247.39487890904616,-0.3130881192738926
-88.0,2.0,112.75970567102786,-0.8374925611169743,857.656701809867,23.70962888419409,-248.17038642528016,-1.4115319849208952
-88.0,3.0,112.88935409494296,-1.23500678685609,858.8360596660912,36.59838766027016,-249.0518324885741,-2.529073584892334
-88.0,4.0,112.99092779894612,-1.6344000733238886,860.1168863334549,49.74985862574097,-250.0459787648951,-3.622610100585273
-88.0,5.0,113.07757086029204,-2.0454140202242286,861.4891526106069,62.98526741198121,-251.14745955600904,-4.66335157048298
-88.0,6.0,113.15600473581073,-2.4933069466235622,862.9169350030909,76.1051440047783,-252.3366270710329,-5.641584835307008
-88.0,7.0,113.22586732174872,-3.016100245712224,864.3399834754746,88.899282548288,-253.5797639800965,-6.566873865702732
-88.0,8.0,113.28027862157072,-3.658014667966299,865.6791580917255,101.1642332071836,-254.83218763033807,-7.462930720551366
-88.0,9.0,113.30748978219673,-4.46151866928075,866.8450041754077,112.72552834579312,-256.043657454131,-8.359231538161804
-88.0,10.0,113.29364769759223,-5.460694785013175,867.7495901389938,123.45841886604518,-257.1649745567993,-9.283144858500576
-88.0,11.0,113.22619723598784,-6.676297588491465,868.3199591981556,133.30352477060703,-258.1545419819911,-10.2546683550609
-88.0,12.0,113.09683548285614,-8.11288494435523,868.5088967709802,142.27431850248954,-258.98361459811844,-11.28433556557827
-88.0,13.0,112.90353580482387,-9.759596674525454,868.3010412278607,150.45266027780866,-259.6395913346286,-12.374926348284152
-88.0,14.0,112.65175141655456,-11.593163805950098,867.7152591337888,157.9766076245489,-260.12761476923794,-13.52605219622452
-88.0,15.0,112.35438775758372,-13.581640789560666,866.8032659729683,165.02421335409184,-260.47062031526485,-14.738432250947874
-88.0,16.0,112.02913341466194,-15.688936620775522,865.640919623989,171.78939882457243,-260.7070226540067,-16.012390747787244
-88.0,17.0,111.69430385175929,-17.880247559706817,864.3150502990933,178.45155180344983,-260.886760771899,-17.34245202988008
-88.0,18.0,111.36549708999,-20.12788594207652,862.9112709636048,185.146638624832,-261.0668775084581,-18.713361569438604
-88.0,19.0,111.05426004371998,-22.41558568936899,861.5055768595234,191.95296578395036,-261.30692058424927,-20.10179250163364
-88.0,20.0,110.7688217253888,-24.74006356109514,860.1604417820308,198.8969918186104,-261.6643672989705,-21.484487808544905
-88.0,21.0,110.51566769362952,-27.11061300160938,858.9238335069346,205.96788965323003,-262.19046023521986,-22.847776181850985
-88.0,22.0,110.30052734035078,-29.54597142849299,857.8300399486407,213.1303308281799,-262.9270294239868,-24.19322551421878
